"","MAG","taxonomy","domain","phylum","class","order","family","genus","species","lowest","ani","reference","old_MAG"
"170","MAG170","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp022769665","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp022769665","s__Acetatifactor sp022769665",99.35,"GCA_022769665.1","D300065:bin_000016"
"171","MAG171","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004552115","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004552115","s__Cryptobacteroides sp004552115",98.04,"GCA_004552115.1","D300065:bin_000021"
"172","MAG172","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp022769325","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium","Eubacterium_F sp022769325","s__Eubacterium_F sp022769325",98.54,"GCA_022769325.1","D300065:bin_000024"
"173","MAG173","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus reuteri","s__Limosilactobacillus reuteri",95.77,"GCF_000016825.1","D300065:bin_000030"
"174","MAG174","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-882",NA,"g__CAG-882 (2)",NA,NA,"D300065:bin_000034"
"175","MAG175","d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__UBA1436 sp945483375","Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","UBA1436","UBA1436 sp945483375","s__UBA1436 sp945483375",98.09,"GCA_945483375.1","D300065:bin_000039"
"176","MAG176","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp016293005","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D sp016293005","s__Treponema_D sp016293005",98.25,"GCA_016293005.1","D300065:bin_000041"
"177","MAG177","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG115;s__RUG115 sp022766245","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","RUG115","RUG115 sp022766245","s__RUG115 sp022766245",98.36,"GCA_022766245.1","D300065:bin_000051"
"178","MAG178","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter",NA,"g__Dysosmobacter (4)",NA,NA,"D300065:bin_000053"
"179","MAG179","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA7867","Bacteria","Bacillota","Clostridia","Christensenellales","UBA1242","UBA7867",NA,"g__UBA7867 (2)",NA,NA,"D300065:bin_000055"
"180","MAG180","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola",NA,"g__Phocaeicola (1)",NA,NA,"D300065:bin_000062"
"181","MAG181","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp004562445","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides sp004562445","s__Parabacteroides sp004562445",97.77,"GCA_021531775.1","D300068:bin_000001"
"182","MAG182","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA1221","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA1221",NA,"g__UBA1221",NA,NA,"D300068:bin_000003"
"183","MAG183","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,"g__Ruminococcus_D",NA,NA,"D300068:bin_000005"
"184","MAG184","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Faecousia",NA,"g__Faecousia (2)",NA,NA,"D300068:bin_000007"
"185","MAG185","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,"g__Roseburia (1)",NA,NA,"D300068:bin_000010"
"186","MAG186","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Gastranaerophilus;s__Gastranaerophilus phascolarctosicola","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Gastranaerophilus","Gastranaerophilus phascolarctosicola","s__Gastranaerophilus phascolarctosicola",96.61,"GCA_001899335.1","D300068:bin_000011"
"187","MAG187","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp945874155","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp945874155","s__Cryptobacteroides sp945874155",97.04,"GCA_945874155.1","D300068:bin_000014"
"188","MAG188","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__W0P33-017;s__W0P33-017 sp022773965","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","W0P33-017","W0P33-017 sp022773965","s__W0P33-017 sp022773965",98.61,"GCA_022773965.1","D300068:bin_000017"
"189","MAG189","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp016296195","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71","UBA71 sp016296195","s__UBA71 sp016296195",96.78,"GCA_016296195.1","D300068:bin_000018"
"190","MAG190","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4334;s__UBA4334 sp016302435","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA4334","UBA4334 sp016302435","s__UBA4334 sp016302435",98.64,"GCA_016302435.1","D300068:bin_000019"
"191","MAG191","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004555145","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004555145","s__Cryptobacteroides sp004555145",98.14,"GCA_004555145.1","D300068:bin_000023"
"192","MAG192","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio sp900548165","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio","Anaerovibrio sp900548165","s__Anaerovibrio sp900548165",98.36,"GCF_021531495.1","D300068:bin_000032"
"193","MAG193","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio",NA,"g__Anaerovibrio",NA,NA,"D300068:bin_000033"
"194","MAG194","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA10281","Bacteria","Bacillota","Clostridia","Christensenellales","Borkfalkiaceae","UBA10281",NA,"g__UBA10281",NA,NA,"D300068:bin_000034"
"195","MAG195","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA7862","Bacteria","Bacillota","Clostridia","Christensenellales","UBA1242","UBA7862",NA,"g__UBA7862",NA,NA,"D300068:bin_000037"
"196","MAG196","d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UBA7185","Bacteria","Bacillota","Peptococcia","Peptococcales","Peptococcaceae","UBA7185",NA,"g__UBA7185",NA,NA,"D300068:bin_000040"
"197","MAG197","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Ventricola","Bacteria","Bacillota","Clostridia","Christensenellales","CAG-74","Ventricola",NA,"g__Ventricola",NA,NA,"D300068:bin_000041"
"198","MAG198","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Mediterranea;s__Mediterranea sp945879145","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Mediterranea","Mediterranea sp945879145","s__Mediterranea sp945879145",97.73,"GCA_945879145.1","D300068:bin_000042"
"199","MAG199","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp945829225","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","CAG-873 sp945829225","s__CAG-873 sp945829225",97.26,"GCA_945829225.1","D300068:bin_000043"
"200","MAG200","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-882",NA,"g__CAG-882 (3)",NA,NA,"D300068:bin_000045"
"201","MAG201","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","CAG-269",NA,"g__CAG-269 (3)",NA,NA,"D300068:bin_000048"
"202","MAG202","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251245","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002251245","s__Prevotella sp002251245",98.98,"GCF_002251245.1","D300068:bin_000052"
"203","MAG203","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","COE1",NA,"g__COE1 (3)",NA,NA,"D300068:bin_000064"
"204","MAG204","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__W0P33-017","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","W0P33-017",NA,"g__W0P33-017 (1)",NA,NA,"D300068:bin_000074"
"205","MAG205","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus sp000437815","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus sp000437815","s__Acidaminococcus sp000437815",98.58,"GCF_009696675.1","TC1_40:bin_000002"
"206","MAG206","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__SFRY01;s__SFRY01 sp004562065","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","SFRY01","SFRY01 sp004562065","s__SFRY01 sp004562065",99.14,"GCA_016292745.1","TC1_40:bin_000006"
"207","MAG207","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","s__Escherichia coli",96.85,"GCF_003697165.2","TC1_40:bin_000013"
"208","MAG208","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA2883",NA,"g__UBA2883 (2)",NA,NA,"TC1_40:bin_000017"
"209","MAG209","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111",NA,"g__Zag111 (2)",NA,NA,"TC1_40:bin_000018"
"210","MAG210","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp022788065","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Copromonas","Copromonas sp022788065","s__Copromonas sp022788065",98.94,"GCA_022788065.1","TC1_40:bin_000023"
"211","MAG211","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii","s__Lactobacillus johnsonii",96.42,"GCF_000159355.1","TC1_40:bin_000027"
"212","MAG212","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp003531055","Bacteria","Bacillota","Clostridia","Oscillospirales","Acutalibacteraceae","UBA1417","UBA1417 sp003531055","s__UBA1417 sp003531055",97.86,"GCA_021029595.1","TC1_40:bin_000032"
"213","MAG213","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella porci","s__Holdemanella porci",98.47,"GCF_009696075.1","TC1_40:bin_000033"
"214","MAG214","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__UBA1394 sp002305725","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","UBA1394","UBA1394 sp002305725","s__UBA1394 sp002305725 (2)",99.13,"GCA_002305725.1","TC1_40:bin_000036"
"215","MAG215","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pectinovora","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella pectinovora","s__Prevotella pectinovora",98.6,"GCF_000834015.1","TC1_40:bin_000037"
"216","MAG216","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004558535","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004558535","s__Alloprevotella sp004558535",97.76,"GCA_004558535.1","TC1_40:bin_000038"
"217","MAG217","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Actinobacillus_B;s__Actinobacillus_B aerogenes","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Actinobacillus","Actinobacillus_B aerogenes","s__Actinobacillus_B aerogenes",99,"GCA_900637275.1","TC1_40:bin_000039"
"218","MAG218","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_A;s__Helicobacter_A trogontum","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter_A trogontum","s__Helicobacter_A trogontum",97.11,"GCF_000765905.2","TC1_40:bin_000041"
"219","MAG219","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus salivarius","s__Ligilactobacillus salivarius",97.6,"GCF_001435955.1","TC1_40:bin_000042"
"220","MAG220","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","RF16",NA,"g__RF16 (3)",NA,NA,"TC1_40:bin_000048"
"221","MAG221","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Floccifex;s__Floccifex porci","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Floccifex","Floccifex porci","s__Floccifex porci",98.93,"GCF_009696175.1","TC1_40:bin_000057"
"222","MAG222","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella",NA,"g__Prevotella (2)",NA,NA,"TC1_40:bin_000058"
"223","MAG223","d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Faecenecus;s__Faecenecus gallistercoris","Bacteria","Bacillota","Bacilli","RF39","UBA660","Faecenecus","Faecenecus gallistercoris","s__Faecenecus gallistercoris",97.66,"GCA_003149915.1","TC1_40:bin_000066"
"224","MAG224","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","s__Parabacteroides distasonis",98.74,"GCF_000012845.1","TC1_40:bin_000073"
"225","MAG225","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Mediterranea;s__Mediterranea pullorum","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Mediterranea","Mediterranea pullorum","s__Mediterranea pullorum",97.61,"GCF_019239235.1","TC1_40:bin_000086"
"226","MAG226","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter faecis","s__Agathobacter faecis",97.34,"GCF_001406815.1","TC1_40:bin_000087"
"227","MAG227","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A sp022769185","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea_A sp022769185","s__Dorea_A sp022769185",99.17,"GCA_022769185.1","TC1_40:bin_000090"
"228","MAG228","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium","Eubacterium_F sp003491505","s__Eubacterium_F sp003491505",97.41,"GCF_003477605.1","TC1_40:bin_000091"
"229","MAG229","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes faecalis","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes faecalis","s__Anaerostipes faecalis",99.22,"GCF_018982945.1","TC1_40:bin_000092"
"230","MAG230","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella multacida","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella multacida","s__Mitsuokella multacida",96.91,"GCF_000155955.1","TC1_40:bin_000093"
"231","MAG231","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Actinobacillus_A;s__Actinobacillus_A porcitonsillarum","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Actinobacillus","Actinobacillus_A porcitonsillarum","s__Actinobacillus_A porcitonsillarum",95.2,"GCF_003101015.1","TC1_40:bin_000095"
"232","MAG232","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__W0P33-017","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","W0P33-017",NA,"g__W0P33-017 (2)",NA,NA,"TC1_40:bin_000101"
"233","MAG233","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__UBA2834;s__UBA2834 sp004561445","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Nanosyncoccaceae","UBA2834","UBA2834 sp004561445","s__UBA2834 sp004561445",97.18,"GCA_004561445.1","TC1_40:bin_000106"
"234","MAG234","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","CAG-269",NA,"g__CAG-269 (4)",NA,NA,"TC1_40:bin_000112"
"235","MAG235","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter",NA,"g__Fusicatenibacter",NA,NA,"TC1_40:bin_000113"
"236","MAG236","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA,"g__Phascolarctobacterium_A (5)",NA,NA,"TC1_40:bin_000121"
"237","MAG237","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp004558595","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium_A sp004558595","s__Phascolarctobacterium_A sp004558595 (2)",95.12,"GCA_004558595.1","TC1_40:bin_000125"
"238","MAG238","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp945873955","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115","CAG-115 sp945873955","s__CAG-115 sp945873955",97.97,"GCA_945873955.1","TC2_40:bin_000001"
"239","MAG239","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp022773825","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp022773825","s__Prevotella sp022773825",99.09,"GCA_022773825.1","TC2_40:bin_000006"
"240","MAG240","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger",NA,"g__Gemmiger",NA,NA,"TC2_40:bin_000018"
"241","MAG241","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Angelakisella",NA,"g__Angelakisella",NA,NA,"TC2_40:bin_000019"
"242","MAG242","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Butyrivibrio",NA,"g__Butyrivibrio_A",NA,NA,"TC2_40:bin_000038"
"243","MAG243","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Gallimonas","Bacteria","Bacillota","Clostridia","Christensenellales","Borkfalkiaceae","Gallimonas",NA,"g__Gallimonas",NA,NA,"TC2_40:bin_000045"
"244","MAG244","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__MGBC114079","Bacteria","Bacillota","Clostridia","Lachnospirales","CAG-274","MGBC114079",NA,"g__MGBC114079",NA,NA,"TC2_40:bin_000046"
"245","MAG245","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111",NA,"g__Zag111 (3)",NA,NA,"TC2_40:bin_000050"
"246","MAG246","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__Merdicola","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","Merdicola",NA,"g__Merdicola",NA,NA,"TC2_40:bin_000063"
"247","MAG247","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1663","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","UMGS1663",NA,"g__UMGS1663",NA,NA,"TC2_40:bin_000070"
"248","MAG248","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA,"g__Agathobacter (2)",NA,NA,"TC2_40:bin_000073"
"249","MAG249","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D coli","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_D coli","s__Campylobacter_D coli",98.76,"GCF_000254135.1","TC2_40:bin_000075"
"250","MAG250","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp022782265","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Limivicinus","Limivicinus sp022782265","s__Limivicinus sp022782265",97.32,"GCA_022782265.1","TC2_40:bin_000078"
"251","MAG251","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Butyribacter",NA,"g__Butyribacter (4)",NA,NA,"TC2_40:bin_000090"
"252","MAG252","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,"g__Ruminococcus",NA,NA,"TC2_40:bin_000098"
"253","MAG253","d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp000434495","Bacteria","Bacillota","Bacilli","RF39","UBA660","CAG-533","CAG-533 sp000434495","s__CAG-533 sp000434495",95.92,"GCA_900547775.1","TC2_40:bin_000099"
